Serial Number, Date-Time,Value
110,3/8/2010 11:23:00 AM,1

110,3/8/2010 11:24:00 AM,2

110,3/8/2010 11:25:00 AM,0

110,3/8/2010 11:26:00 AM,2

110,3/8/2010 11:27:00 AM,1

110,3/8/2010 11:28:00 AM,1

110,3/8/2010 11:29:00 AM,0

110,3/8/2010 11:30:00 AM,1

110,3/8/2010 11:31:00 AM,2

110,3/8/2010 11:32:00 AM,0

110,3/8/2010 11:33:00 AM,0

110,3/8/2010 11:34:00 AM,1

110,3/8/2010 11:35:00 AM,2

110,3/8/2010 11:36:00 AM,2

110,3/8/2010 11:37:00 AM,1

110,3/8/2010 11:38:00 AM,2

110,3/8/2010 11:39:00 AM,1

110,3/8/2010 11:40:00 AM,1

110,3/8/2010 11:41:00 AM,4

110,3/8/2010 11:42:00 AM,2

110,3/8/2010 11:43:00 AM,2

110,3/8/2010 11:44:00 AM,3

110,3/8/2010 11:45:00 AM,2

110,3/8/2010 11:46:00 AM,11

110,3/8/2010 11:47:00 AM,1

110,3/8/2010 11:48:00 AM,1

110,3/8/2010 11:49:00 AM,0

110,3/8/2010 11:50:00 AM,7

110,3/8/2010 11:51:00 AM,12

110,3/8/2010 11:52:00 AM,6

110,3/8/2010 11:53:00 AM,6

110,3/8/2010 11:54:00 AM,12

110,3/8/2010 11:55:00 AM,7

110,3/8/2010 11:56:00 AM,3

110,3/8/2010 11:57:00 AM,6

110,3/8/2010 11:58:00 AM,1

110,3/8/2010 11:59:00 AM,10

110,3/8/2010 12:00:00 PM,17

110,3/8/2010 12:01:00 PM,13

110,3/8/2010 12:02:00 PM,21

110,3/8/2010 12:03:00 PM,20

110,3/8/2010 12:04:00 PM,18

110,3/8/2010 12:05:00 PM,16

110,3/8/2010 12:06:00 PM,21

110,3/8/2010 12:07:00 PM,16

110,3/8/2010 12:08:00 PM,33

110,3/8/2010 12:09:00 PM,25

110,3/8/2010 12:10:00 PM,34

110,3/8/2010 12:11:00 PM,27

110,3/8/2010 12:12:00 PM,22

110,3/8/2010 12:13:00 PM,1

110,3/8/2010 12:14:00 PM,2

110,3/8/2010 12:15:00 PM,2

110,3/8/2010 12:16:00 PM,1

110,3/8/2010 12:17:00 PM,3

110,3/8/2010 12:18:00 PM,7

110,3/8/2010 12:19:00 PM,3

110,3/8/2010 12:20:00 PM,0

110,3/8/2010 12:21:00 PM,1

110,3/8/2010 12:22:00 PM,1

110,3/8/2010 12:23:00 PM,8

110,3/8/2010 12:24:00 PM,12

110,3/8/2010 12:25:00 PM,4

110,3/8/2010 12:26:00 PM,2

110,3/8/2010 12:27:00 PM,32

110,3/8/2010 12:28:00 PM,5

110,3/8/2010 12:29:00 PM,1

110,3/8/2010 12:30:00 PM,1

110,3/8/2010 12:31:00 PM,1

110,3/8/2010 12:32:00 PM,0

110,3/8/2010 12:33:00 PM,2

110,3/8/2010 12:34:00 PM,0

110,3/8/2010 12:35:00 PM,5

110,3/8/2010 12:36:00 PM,1

110,3/8/2010 12:37:00 PM,1

110,3/8/2010 12:38:00 PM,1

110,3/8/2010 12:39:00 PM,1

110,3/8/2010 12:40:00 PM,2

110,3/8/2010 12:41:00 PM,3

110,3/8/2010 12:42:00 PM,1

110,3/8/2010 12:43:00 PM,0

110,3/8/2010 12:44:00 PM,2

110,3/8/2010 12:45:00 PM,0

110,3/8/2010 12:46:00 PM,0

110,3/8/2010 12:47:00 PM,0

110,3/8/2010 12:48:00 PM,1

110,3/8/2010 12:49:00 PM,1

110,3/8/2010 12:50:00 PM,1

110,3/8/2010 12:51:00 PM,0

110,3/8/2010 12:52:00 PM,0

110,3/8/2010 12:53:00 PM,1

110,3/8/2010 12:54:00 PM,1

110,3/8/2010 12:55:00 PM,0

110,3/8/2010 12:56:00 PM,1

110,3/8/2010 12:57:00 PM,7

110,3/8/2010 12:58:00 PM,1

110,3/8/2010 12:59:00 PM,1

110,3/8/2010 1:00:00 PM,0

110,3/8/2010 1:01:00 PM,7

110,3/8/2010 1:02:00 PM,6

110,3/8/2010 1:03:00 PM,1

110,3/8/2010 1:04:00 PM,28

110,3/8/2010 1:05:00 PM,24

110,3/8/2010 1:06:00 PM,29

110,3/8/2010 1:07:00 PM,23

110,3/8/2010 1:08:00 PM,5

110,3/8/2010 1:09:00 PM,33

110,3/8/2010 1:10:00 PM,28

110,3/8/2010 1:11:00 PM,24

110,3/8/2010 1:12:00 PM,33

110,3/8/2010 1:13:00 PM,13

110,3/8/2010 1:14:00 PM,2

110,3/8/2010 1:15:00 PM,12

